z,VER_127,VER_428,rho,c,T
108.2,105999999999.99995,1.2184848340119032e-08,6.9594951752172055e-06,192.73091345717353,160.8410756652171
108.3,104000000000.00005,1.2518811232510525e-08,6.7731847534341136e-06,192.55086617313984,160.54096045687626
108.4,101999999999.9999,1.2860559518668903e-08,6.591728245023593e-06,192.37308106713067,160.24479964666565
108.5,100000000000.0,1.3210055416304418e-08,6.41468008971093e-06,192.20025677897485,159.9570563353513
108.6,98000000000.0001,1.3567256559388654e-08,6.241594727221385e-06,192.03509194850105,159.6821936236991
108.7,95999999999.99994,1.3932115998945073e-08,6.07202659728025e-06,191.88028521553798,159.42467461247503
108.8,94000000000.00006,1.4304582205857867e-08,5.905530139612785e-06,191.7385352199143,159.18896240244493
108.9,91999999999.9999,1.4684599075693741e-08,5.7416597939442755e-06,191.61254060145873,158.9795200943748
109.0,90000000000.0,1.5072105935531275e-08,5.57997e-06,191.505,158.80081078903055
109.1,88000000000.0001,1.5467040057756545e-08,5.420139548360275e-06,191.41771678968428,158.65581269114793
109.2,85999999999.99994,1.5869344319635227e-08,5.262344633025628e-06,191.34891328192742,158.54156442134186
109.3,84000000000.00006,1.6278959933203862e-08,5.10688579885164e-06,191.29591652246287,158.45361970419708
109.4,81999999999.9999,1.669582398365567e-08,4.954063590693867e-06,191.25605355702402,158.38753226429824
109.5,80000000000.0,1.711986944073512e-08,4.8041785534078965e-06,191.22665143134424,158.33885582623014
109.6,78000000000.0001,1.755102517187685e-08,4.65753123184929e-06,191.20503719115692,158.30314411457746
109.7,75999999999.99994,1.7989215957081104e-08,4.514422170873622e-06,191.18853788219545,158.27595085392488
109.8,74000000000.00006,1.8434362505518022e-08,4.375151915336474e-06,191.17448055019324,158.2528297688572
109.9,71999999999.9999,1.8886381473852088e-08,4.240021010093406e-06,191.16019224088365,158.2293345839591
110.0,70000000000.0,1.9345185486277616e-08,4.109330000000001e-06,191.14300000000003,158.20101902381526
